0.00 12.70	MARY:   	... God,
12.64 14.45	        	I said I wasn't gonna do this anymore.
14.45 15.85	        	... Stay up late.
15.85 21.20	        	... Kinda defeats the purpose of getting up in the morning.
21.20 22.50	ALICE:  	... I know.
22.50 24.15	        	.. And it's a hard habit to break=.
24.15 24.96	        	[Usually I don't] --
24.15 25.20	MARY:   	[It i=s].
25.20 26.87	ALICE:  	s- % Usually I don't stay up late.
26.87 28.19	        	... (H) But it's like,
28.19 29.52	        	if I'm up after midnight?
29.52 31.57	        	@ .. <@ It's just like @>,
31.57 32.32	MARY:   	(TSK) (TSK)
32.32 33.52	ALICE:  	... (H) Hm=.
33.52 34.92	        	@@ ... [<X Yeah yeah X>].
33.97 35.47	MARY:   	       [What can I do] [2now2].
34.96 35.91	ALICE:  	                       [2@@@2][3@@3]
35.47 38.06	MARY:   	                              [3@@3]@@@ ...(H)
38.06 43.05	ALICE:  	... [4(SWALLOW)4] I still can't % --
39.11 40.55	MARY:   	    [4(SWALLOW)4]
43.05 46.35	ALICE:  	... God I still can't believe ~Tim bitching around and,
46.35 47.40	        	.. he lied too.
47.40 48.82	        	... He said that he talked to !Ron,
48.82 49.92	        	and all this other shit?
49.92 50.57	MARY:   	About what.
50.57 54.22	ALICE:  	... About % ... the way ... they were feeling,
54.22 57.80	        	... of them being the only ones cleaning the house,
57.80 59.02	        	and all this other shit?
59.02 61.16	        	... (H) I mean what they don't realize,
61.16 61.73	        	is like,
61.73 62.52	        	... shit,
62.52 64.22	        	when !Ron gets home from wor=k,
64.22 65.97	        	... I wanna spend time with !Ro=n,
65.97 66.67	        	because !Ron,
66.67 69.87	        	... usually doesn't get home till @nine or ten.
69.87 71.75	MARY:   	... Yeah=.
71.75 72.53	ALICE:  	Unlike ~Tim,
72.53 73.42	        	he has to w=ork,
73.42 75.72	        	... for every little dime that he makes.
75.72 77.00	        	... You know?
77.00 77.82	MARY:   	.. [Yeah=].
77.15 78.71	ALICE:  	   [He doesn't] get any breaks.
78.71 79.41	MARY:   	... Yeah%,
79.41 82.16	        	... ~Tim is on salary=,
82.16 83.41	        	and he can take lea=ve,
83.41 83.66	        	and,
83.66 84.01	ALICE:  	Mhm,
84.01 86.03	        	... and [he earns] lea=ve,
85.23 85.68	MARY:   	        [he's] --
86.03 87.63	ALICE:  	... he gets sick leave,
87.63 92.58	        	... we don't get shit.
92.58 94.13	MARY:   	... (TSK) I don't know.
94.13 98.38	        	... (H) ... It is really hard living with another couple.
98.38 100.08	ALICE:  	... I mean,
100.08 100.43	        	.. we --
100.43 101.23	        	If we set our --
101.23 102.88	        	.. If we sit down and set some rules,
102.88 103.78	        	which we never did,
103.78 105.38	        	.. % % %it could work.
105.38 107.48	        	... You know,
107.48 107.98	MARY:   	.. Mhm.
107.98 111.08	ALICE:  	... (H) what it amounts to,
111.08 112.60	        	is mutual r- respect,
112.60 114.25	        	and l- like ~Tim told !Ro=n,
114.25 116.53	        	... (H) ... he= told him,
116.53 117.28	        	he goes um,
117.28 119.28	        	... what was it he goes,
119.28 121.68	        	... nobody fucks with my lifestyle.
121.68 123.83	        	... @I feel the exact same way.
123.83 126.28	        	... And all those bitches and complaints that he has,
126.28 128.08	        	(H) they're about my lifestyle.
128.08 130.21	MARY:   	... Mhm=,
130.21 131.58	ALICE:  	And he doesn't realize that.
131.58 132.83	MARY:   	... (THROAT)
132.83 134.23	ALICE:  	And that's what I'm gonna tell him.
134.23 136.08	MARY:   	(TSK) ... We=ll,
136.08 137.08	        	.. %= you know,
137.08 139.61	ALICE:  	... And the only way it's gonna work,
139.61 141.33	        	is if we have respect for one another.
141.33 142.18	MARY:   	That's right.
142.18 145.13	        	... That's right.
145.13 146.13	ALICE:  	And it doesn't mean,
146.13 148.38	        	(H) going to ... our parents,
148.38 150.38	        	and ... complaining about one another,
150.38 154.58	        	... (H) I'm gonna tell him,
154.58 156.03	        	if you have any complaints,
156.03 158.98	        	you .. talk to the person that you have the complaint about.
158.98 161.38	        	...(H) I'm also going to suggest,
161.38 164.38	        	... <MRC weekly house meetings MRC> to discuss such things.
164.38 165.38	MARY:   	.. Mhm.
165.38 167.53	        	... (TSK) Oh yeah=.
167.53 168.13	        	... Yeah.
168.13 168.93	        	You know what it would be,
168.93 170.33	        	a real good lesson for them,
170.33 170.83	        	too,
170.83 172.78	        	... in self assertiveness,
172.78 173.13	ALICE:  	Yep.
173.13 175.73	MARY:   	... you know and,
175.73 177.13	        	.. especially the way um,
177.13 181.63	        	... I mean ~Tim gets .. in- .. himself into a=,
181.63 183.83	        	uncomfortable situation or whatever,
183.83 187.03	        	.. (H) and his first reaction is to blow up about it.
187.03 187.58	ALICE:  	Mhm.
187.58 188.43	MARY:   	... You know,
188.43 189.03	        	cause he let --
189.03 190.28	        	he lets it pile up.
190.28 191.03	ALICE:  	.. Yep.
191.03 194.01	MARY:   	... He doesn't do nothing ... positive about it,
194.01 195.33	        	and then he just blows up.
195.33 197.83	ALICE:  	... <X And if X> something bothers you,
197.83 198.68	        	you go and you,
198.68 200.33	        	... I was,
200.33 201.03	        	like last year,
201.03 202.43	        	I was really proud of myself,
202.43 206.43	        	when (H) I was asked to take over .. intermediate .. algebra?
206.43 206.88	MARY:   	.. Unhunh.
206.88 208.48	ALICE:  	... [And teach it]?
207.83 210.48	MARY:   	    [(DRINK)] (DRINK) (Hx)
210.48 212.83	ALICE:  	... [2And I di=d2].
211.28 214.08	MARY:   	    [2(DRINK)2] (SWALLOW)
214.08 216.73	ALICE:  	... And I [3also went3],
215.65 217.60	MARY:   	          [3(DRINK)3] (SWALLOW)
217.60 219.20	ALICE:  	... and I asked for a raise,
219.20 222.40	        	... [instead of ]--
221.30 222.40	MARY:   	    [(SWALLOW)]
222.40 225.45	ALICE:  	.. cause instead of just sitting in the class and getting five dollars an hour,
225.45 227.20	        	I was now gonna be up there teaching it,
227.20 229.45	MARY:   	... Mhm,
229.45 231.63	ALICE:  	.. and instead of getting the five dollars an @hour,
231.63 233.15	        	I ended up getting fifteen.
233.15 234.95	MARY:   	... Really=.
234.95 236.45	ALICE:  	But I went and I asked.
236.45 238.40	        	... Now if i- --
238.40 241.80	        	You know if you ... put a situation like that to ~Tim or ~Mandy,
241.80 247.30	        	... cause not because they're ... they're weak in character or anything,
247.30 248.15	        	but because they're --
248.15 249.70	MARY:   	... They're babies.
249.70 250.25	ALICE:  	.. Yeah.
250.25 252.95	        	... They ... hem and haw around,
252.95 254.85	        	and somebody else would have to talk for them.
254.85 256.25	        	.. You know (H)?
256.25 257.25	MARY:   	... Yeah=.
257.25 258.65	ALICE:  	... (Hx)
258.65 260.45	MARY:   	... I don't know.
260.45 262.90	        	... <X And it's X>,
262.90 266.70	        	... (TSK) Right now uh,
266.70 268.85	        	... I don't know if I should mention it to him,
268.85 269.40	        	or what,
269.35 269.85	        	but,
269.75 273.95	        	... I'm feeling like he's taking me for granted.
273.95 275.35	ALICE:  	... Yep (Hx).
275.35 277.65	        	... And he's rolling in it,
277.65 278.05	        	~Mary.
278.05 280.05	        	... And you know what the sad thing,
280.15 281.85	        	... the thing that really scares me?
281.95 284.85	        	... is that they're n=- --
284.85 287.20	        	... (H) th- at the rate they're going,
287.20 290.20	        	... and with all the breaks that they've ... gotten,
290.20 292.80	        	... (H) they're never gonna have hard times.
292.80 298.90	MARY:   	... Hard times do train you.
298.90 299.95	ALICE:  	... Yep.
299.95 300.95	MARY:   	... They do.
300.95 307.50	ALICE:  	... Like I came over here to work with !Danae,
307.50 308.85	        	which is what I'm going to do,
308.85 313.50	        	... I'm going to do some .. translations for her and stuff?
313.50 314.15	MARY:   	.. Yeah.
314.15 314.85	ALICE:  	... tonight?
314.85 318.60	        	... [A=nd um],
314.85 318.60	MARY:   	    [(DRINK)]
318.60 320.80	ALICE:  	... (THROAT) you know,
320.70 323.55	        	... I have to make at least f=ifty [dollars or so],
322.82 323.55	MARY:   	                                   [(SWALLOW)]
323.55 324.90	ALICE:  	to make it worth my time,
324.85 327.52	        	... but like tonight (Hx),
327.52 328.35	        	... well I called,
328.35 329.03	        	... you know,
329.03 331.15	        	this thing was going on with !Buck and everything,
331.15 333.40	        	... so I called um,
333.40 336.55	        	... ~Mandy's,
336.55 337.65	        	... or,
337.65 338.54	        	.. I called our house,
338.54 339.63	        	and ~Mandy answered the phone,
339.63 340.38	        	and I said where's --
340.48 342.13	        	... you know where's --
342.13 342.48	        	... where --
342.48 343.09	        	Is !Ron there?
343.09 344.08	        	And she said no.
344.08 346.16	        	.. (H)= When we were on our way to ~Tim's game,
346.16 347.18	        	he was at Town Pump,
347.18 348.78	        	and he asked what time .. we'd be home,
348.78 350.28	        	and we said probably about nine.
350.28 354.18	        	... And she said then we went over to ... your grandma's,
354.18 356.01	        	but (H)= <X then X> we came back,
356.01 357.33	        	and he wasn't here yet.
357.33 358.98	        	... So=,
358.98 360.78	        	... I called the Town Pump,
360.78 362.43	        	and asked if he was still in the casino,
362.43 365.23	        	... (H) course he wasn't (Hx),
365.23 368.23	        	... he was on his way home.
368.23 370.58	        	... And I said tell --
370.58 371.88	        	.. So I called ~Mandy back,
371.88 372.63	        	and I told her to,
372.63 373.88	        	... have him call me.
