0.00 2.29	LENORE: 	[Disgusting].
1.69 2.19	ALINA:  	[(TSK) Well you know],
2.29 2.50	LENORE: 	(Hx)
2.50 3.30	ALINA:  	remember !Tyke?
3.30 4.10	        	.. Lived next door to Mom?
4.10 6.21	LENORE: 	.. % ... Yeah=.
6.21 6.71	ALINA:  	... Okay.
6.71 8.86	        	(H) .. Two weeks ago I'm watching TV,
8.86 10.51	        	.. and David Horowitz is going to have,
10.51 12.98	        	this former car .. radio thief on?
12.98 14.35	LENORE: 	... It's her boyfriend?
14.35 15.00	ALINA:  	(H) .. Yeah,
15.00 15.83	        	her ex-boyfriend.
15.83 16.53	        	... !Mike.
16.53 18.68	        	... He's the one that stole ~Hector's radio.
18.68 21.31	LENORE: 	... How do you know.
21.31 22.44	ALINA:  	(H) Well,
22.44 23.17	        	... cause well,
23.17 23.42	        	.. he --
23.42 24.67	        	.. he was a cocaine addict.
24.67 25.45	        	So he's talking about,
25.45 25.60	        	<X he --
25.60 26.06	        	<VOX you know X> he's,
26.06 26.40	        	yeah man,
26.40 27.10	        	he's gonna show us,
27.10 27.30	        	.. you know,
27.30 28.20	        	how X not X,
28.20 28.45	LENORE: 	(THROAT)
28.45 29.18	ALINA:  	to protect your car,
29.18 29.68	        	not to get it,
29.68 29.88	        	you know,
29.88 30.58	        	ripped off man.
30.58 30.74	        	Cause,
30.74 30.96	        	you know,
30.96 31.20	        	I --
31.20 31.36	        	.. yeah,
31.36 31.83	        	I was into it,
31.83 32.82	        	uh let me show you how easy it was VOX>.
32.82 34.55	        	(H) He's actually pretty intelligent.
34.55 35.10	        	.. You know he just --
35.10 36.66	        	... (H) uneducated,
36.66 37.12	        	so,
37.12 37.71	        	.. u=m,
37.71 38.41	        	.. (TSK) yeah=.
38.41 39.31	        	~Hector's radio=,
39.31 39.46	        	with --
39.46 40.61	        	I- it was bro=ken,
40.61 41.31	        	we were gonna s- --
41.31 42.71	        	take it out and send it back to the factory,
42.71 43.76	        	to get a new factory,
43.76 44.96	        	.. (H) radio,
44.96 45.96	        	we never got a chance,
45.96 46.51	        	because,
46.51 47.61	        	the back window was broken,
47.61 48.51	        	and they stole <X it X>.
48.51 49.89	        	... The radio.
49.89 52.09	        	... And you can't send something back to the factory,
52.09 52.93	        	that isn't there any[more],
52.81 52.93	LENORE: 	                    [<WH @@@ WH>]
52.93 53.21	ALINA:  	right?
53.21 54.36	        	.. So he never got his [radio.
53.83 54.48	LENORE: 	                       [It's really hard.
54.48 55.43	ALINA:  	(H)=]
54.48 54.83	LENORE: 	<WH Oh.
54.83 55.43	        	Shit WH>].
55.43 56.97	ALINA:  	So he got another radi[2o this2] summer,
56.30 56.60	LENORE: 	                      [2(H)=2]
56.97 58.33	ALINA:  	but of course that got ripped off also.
58.33 59.23	        	<VOX But never mind VOX>.
59.23 60.48	        	(Hx[=])
59.88 61.39	LENORE: 	   [He's <X having X>] bad luck with that car.
61.39 62.74	        	What i- what i- what is this.
62.74 63.59	ALINA:  	.. (TSK) I don't know.
63.59 64.07	LENORE: 	.. So --
64.07 64.65	        	.. %You- --
64.65 66.45	        	.. Y- it's o=bvious now that this guy w- --
66.45 68.34	        	This= was the one who stole .. ~Hector's,
68.34 68.65	        	I mean,
68.65 69.52	        	.. nobody came out and told you,
69.52 69.84	        	guess [what,
69.73 69.93	ALINA:  	      [(TSK)
69.84 70.38	LENORE: 	I confess].
69.93 70.08	ALINA:  	Oh,
70.08 70.49	        	we knew].
70.49 70.84	        	.. We knew.
70.84 72.04	        	.. We figured it had to be !Michael.
72.04 73.98	        	(H) (DRINK)
72.98 73.76	LENORE: 	... <WH Oh .. shit WH>.
73.76 74.76	ALINA:  	.. <DRINKING Mhm DRINKING>.
74.76 75.91	        	... (SWALLOW)
75.91 76.91	        	... (TSK) So Mom didn't want me to --
76.91 78.51	        	We had to go see !Jan= last Sunday=?
78.51 79.36	        	.. at her house for dinner?
79.36 80.08	        	(H) And- --
80.08 80.70	        	or breakfast?
80.70 81.25	        	And Mom said,
81.25 81.56	        	.. n- you know,
81.56 82.34	        	<Q don't bring it up to !Linda,
82.34 83.17	        	don't tell her about !Mike Q>.
83.17 84.02	        	So I- I- b- --
84.02 86.51	        	... @@@ <@ That's like @ waving a @ red flag @>.
86.51 87.21	        	(H) <FF<VOX Yeah=,
87.21 88.16	        	hello !Tyke,
88.16 89.93	        	did you see !Mike on TV= VOX>FF>?
89.93 91.12	        	@@[@@@]
90.61 91.07	LENORE: 	  [Did she]?
91.12 91.72	ALINA:  	(H) Yeah.
91.72 93.10	        	... (H) She said,
93.10 94.40	        	sh- they were sitting there watching TV,
94.40 95.08	        	and the next thing she know,
95.08 95.88	        	there's !Mike=.
95.88 96.23	        	on the --
96.23 96.93	        	.. on= TV.
96.93 97.23	        	And she goes,
97.23 97.98	        	<VOX (GROAN) VOX>.
97.98 101.22	        	(H)= ... (TSK) And of course !Jo=hn,
101.22 102.19	        	who's just as ba=d,
102.19 102.64	        	is sitting there going,
102.64 103.00	        	<VOX oh=,
103.00 104.05	        	did you see !M=ike,
104.05 105.00	        	your ex-boyfriend VOX>?
105.00 106.37	        	(H) But he's no better.
106.37 109.90	        	... (SWALLOW) He does other goofy things.
109.90 111.51	LENORE: 	@ .. <VOX Goofy=.
111.39 111.78	ALINA:  	(TSK) Yeah.
