0.00 1.24	KEVIN:  	Is that just [carbonated water]?
0.45 1.24	WENDY:  	             [No thank you].
1.24 1.50	        	[2No,
1.24 3.38	KEN:    	[2(H) No this is2] crea=m [3soda.
1.50 2.36	WENDY:  	It's cream soda2].
2.96 3.64	KEVIN:  	                          [3Oh= boy=3].
3.38 4.01	KEN:    	The3] best.
4.01 5.17	WENDY:  	... It's the best.
5.17 5.86	        	I'm s[ure=].
5.44 6.74	KENDRA: 	     [Does it look] like cream soda?
6.74 8.39	MARCI:  	.. Why do these ca=ns,
8.39 9.41	        	.. get so warped.
9.41 10.14	        	Only the --
10.14 12.74	        	.. Only the Sam's Club cans .. get so [warped].
12.24 13.14	KEN:    	                                      [(H)]=
13.14 14.58	WENDY:  	(H) % [I think you should] [3write3] --
13.86 14.58	KEN:    	      [<X Cause they're X>] [3X3] --
14.26 15.33	KENDRA: 	                           [3Cause they're3] [4cheap ca=ns,
14.58 16.03	WENDY:  	                                             [4%Just .. %= write a letter to em4],
15.33 15.93	KENDRA: 	that's why4] --
16.03 17.03	WENDY:  	and complain !Marci.
17.03 18.88	MARCI:  	.. (H)= What I'm gonna complain about,
18.88 20.33	        	is that they don't make white grape.
20.33 21.40	        	This stuff [is] g=ood.
20.71 21.11	>ENV:   	           [((POP-TOP))]
21.40 24.47	        	It's like sparkling= grape juice .. cocktail,
24.47 25.15	        	or something,
25.15 25.55	        	.. you know,
25.55 26.42	        	.. Remember that [white] --
26.18 28.03	WENDY:  	                 [(H) They] only make that .. with Nutrasweet though,
28.03 28.28	        	<X do- X> --
28.28 28.78	        	.. don't they.
28.78 30.38	        	.. They don't make ... a regular --
30.38 31.78	MARCI:  	... A regular grape?
31.78 32.33	        	I don't [know].
32.05 32.60	KEN:    	        [(THROAT)]=
32.60 35.20	WENDY:  	... Every time I've looked at <X the X> bot- that bottled water,
35.20 36.20	        	.. or the sparkling water,
36.20 37.00	        	[it's all] [2with2] --
36.20 38.65	MARCI:  	[But they don't] [2make2] this kind at a=ll [3any3]more.
36.72 37.02	KENDRA: 	           [2(Hx)2]
37.89 38.27	        	                                            [3(SNIFF)3]
38.65 39.09	        	[4(THROAT)4]
38.65 39.47	WENDY:  	[4.. Oh they4] don't?
39.47 41.72	MARCI:  	.. [5I couldn't find5] it last time [6I was6] in there.
39.62 40.42	KENDRA: 	   [5(THROAT)5]
41.07 41.37	        	                                    [6(SNIFF)6]
41.72 42.27	KEN:    	[7(Hx)=7]
42.00 42.27	MARCI:  	[7That wa-7] --
42.27 43.77	        	That made me ma=d.
43.77 45.57	KENDRA: 	... <VOX Ma=d VOX> (Hx)[=].
45.27 47.28	WENDY:  	                       [<VOX<SING I wa]s so= ma=d.
45.27 45.72	MARCI:  	                       [XXX] --
47.28 48.09	        	I was [2ma=d,
47.58 48.54	WENDY:  	      [2doo-doo-doo-doo,
48.54 49.24	        	.. doo-doo-doo SING>VOX>2].
48.09 49.04	MARCI:  	<X in the hea=d X>2].
49.24 49.89	WENDY:  	(H) Don't you remember that?
49.89 50.54	KEVIN:  	.. Un[hunh].
50.19 51.39	KENDRA: 	     [How mad] were [2you2].
50.99 51.84	KEN:    	                    [2(DRINK)2]=
51.84 52.72	MARCI:  	... Oh,
52.72 53.29	        	fairly.
53.29 54.69	KEN:    	... Oops,
54.69 55.44	        	that [won't work].
54.81 55.34	KENDRA: 	     [Oops],
54.81 55.44	KEVIN:  	     [Ah=].
55.44 55.89	KENDRA: 	oops,
55.89 56.24	KEVIN:  	(H)
56.24 57.03	KENDRA: 	oo[=ps],
56.53 57.03	WENDY:  	  [<MRC Oops],
57.03 57.43	        	.. oops,
57.43 57.98	        	.. [oops.
57.70 58.81	MARCI:  	   [What's everybody wait][2ing2] [3for3],
57.98 58.65	WENDY:  	Don't .. do] [2it MRC>2].
58.50 58.81	KENDRA: 	                          [2(SNIFF)2][3=3]
58.81 60.56	MARCI:  	you guys [4are supposed to4] go ho=me now.
59.13 59.68	KEVIN:  	         [4(H)=4]
60.66 61.14	KENDRA: 	[5See you5].
60.66 61.42	KEN:    	[5(YAWN)5]=
61.37 61.97	KEVIN:  	Well we're --
61.97 62.92	KENDRA: 	.. (COUGH) (COUGH)
62.92 63.78	WENDY:  	.. Thanks a lot,
63.78 64.32	        	!Marci.
64.32 65.33	MARCI:  	[@@@@@@]
64.32 65.85	KENDRA: 	[I'll just take my gifts up] to my bed,
65.85 67.35	        	and [2<@ open em .. by2] my[3se=3][4lf @>4].
65.90 66.42	MARCI:  	    [2@@@2]
66.82 67.99	KEN:    	                           [3Oh3][4=4][5=5].
67.24 67.99	KEVIN:  	                                  [4Oh4] [5that's right5].
67.99 69.14	        	There is more to tonight.
69.14 70.15	WENDY:  	... There i=s.
70.15 70.55	        	Oh=.
70.55 71.20	        	We forgot.
71.20 71.55	X:      	(Hx)
71.55 72.85	KENDRA: 	... (SNIFF)
72.85 74.15	WENDY:  	... (H) Well I have,
74.15 75.20	        	.. f- a fun present.
75.20 76.13	        	I'm excited about it.
76.13 78.65	MARCI:  	I thought [I'd throw !Kendie] off the s- --
77.14 78.02	KEN:    	          [(THROAT)]
78.65 79.45	MARCI:  	.. off the trail.
79.45 79.80	KENDRA: 	(Hx)
79.80 81.05	WENDY:  	Well she's in here so[bbi=ng.
80.68 81.72	MARCI:  	                     [Shut your eyeballs,
81.12 82.24	WENDY:  	I hope you're happy- (H)].
81.72 82.24	MARCI:  	!Kendie].
82.24 84.55	KEVIN:  	.. !Wendy ha=s .. tried her hand,
84.55 86.74	        	for the first time at making a clue=.
86.74 87.42	KEN:    	(H) Oh,
87.42 88.20	        	a clue=?
88.20 89.10	KEVIN:  	.. A [clue].
88.65 89.30	WENDY:  	     [Oh][2=,
88.65 91.45	KEN:    	     [(H)] [2Is this the kind of clue that2] [3goes from room to room3]?
89.30 90.05	WENDY:  	stop it.
90.05 91.45	        	Don't2] [3make fun of me3].
90.30 91.15	KENDRA: 	        [3Is it a real one,
91.15 91.85	        	or3] is it a,
91.85 92.20	KEVIN:  	It's [4a r-4] --
91.95 92.97	KENDRA: 	     [4is it a4] ~Perry one.
92.97 94.42	KEVIN:  	Well [5it's definitely a5] ~Perry one.
93.34 93.99	KEN:    	     [5(THROAT)5]
94.42 95.77	KEVIN:  	She [6has fit6] into the mold.
94.63 95.11	KENDRA: 	    [6O=kay6].
95.77 96.04	WENDY:  	... (Hx)
96.04 96.99	KEN:    	Mm[=].
96.41 98.21	KEVIN:  	  [She] [2has2] ... fit in[3to the groove3].
96.60 97.11	WENDY:  	        [2(SNIFF)2]
97.51 98.59	MARCI:  	                          [3@@@3] (H)
98.59 99.69	WENDY:  	I don't know about [4that4].
99.11 99.69	X:      	                   [4(SIGH)4]
99.69 100.99	WENDY:  	.. [5But don't make fun of me5].
99.69 101.26	MARCI:  	   [5You look pretty proud of your5]self,
101.26 101.91	        	!Wendy.
101.91 102.59	WENDY:  	.. <VOX We=ll,
102.59 103.51	        	I'm a little proud,
103.51 105.30	        	except if you [think it's stupid @].
103.97 105.30	KEVIN:  	              [@=]
105.30 106.82	        	[2@@2][3@@@@@3]
105.30 106.82	WENDY:  	[2<@ Then 2][3 I'll feel ba=d @>VOX>3].
105.60 106.82	KEN:    	      [3@@@@3]
105.60 106.82	KENDRA: 	      [3A little prou=d3].
106.82 108.46	KEVIN:  	[4@@@@4]
106.82 108.46	KEN:    	[4@ @ @ @4]
106.87 108.46	KENDRA: 	[4Then I'll be really ma=d4].
